start,finish,distance,flights,steps
11/3/16 0:00,12/3/16 0:00,1.919633093,6,4386
12/3/16 0:00,13/3/16 0:00,1.332760429,4,2596
13/3/16 0:00,14/3/16 0:00,1.144000288,2,2238
14/3/16 0:00,15/3/16 0:00,3.392506512,6,7366
15/3/16 0:00,16/3/16 0:00,2.303659131,5,5170
16/3/16 0:00,17/3/16 0:00,2.883479231,11,5980
17/3/16 0:00,18/3/16 0:00,2.026887974,6,4610
18/3/16 0:00,19/3/16 0:00,3.667040732,5,7513
19/3/16 0:00,20/3/16 0:00,3.606040722,13,7477
20/3/16 0:00,21/3/16 0:00,1.036950459,2,2131
21/3/16 0:00,22/3/16 0:00,2.074603068,5,4787
22/3/16 0:00,23/3/16 0:00,1.894504842,4,4392
23/3/16 0:00,24/3/16 0:00,2.681042711,7,5714
24/3/16 0:00,25/3/16 0:00,0.018951821,0,37
25/3/16 0:00,26/3/16 0:00,2.424745735,4,5456
26/3/16 0:00,27/3/16 0:00,1.794069795,14,4569
27/3/16 0:00,28/3/16 0:00,2.840843196,1,6513
28/3/16 0:00,29/3/16 0:00,3.019851567,15,6878
29/3/16 0:00,30/3/16 0:00,3.403113318,7,8138
30/3/16 0:00,31/3/16 0:00,1.636070349,6,4105
31/3/16 0:00,1/4/16 0:00,1.767011901,7,4326
1/4/16 0:00,2/4/16 0:00,3.094372614,7,7111
2/4/16 0:00,3/4/16 0:00,2.74416781,5,6317
3/4/16 0:00,4/4/16 0:00,3.207163913,3,7268
4/4/16 0:00,5/4/16 0:00,1.413861797,11,3271
5/4/16 0:00,6/4/16 0:00,2.705891345,5,6530
6/4/16 0:00,7/4/16 0:00,1.751073729,5,4267
7/4/16 0:00,8/4/16 0:00,2.07150864,6,4981
8/4/16 0:00,9/4/16 0:00,3.294826961,7,7702
9/4/16 0:00,10/4/16 0:00,1.021109515,2,2301
10/4/16 0:00,11/4/16 0:00,0.529358546,1,1394
11/4/16 0:00,12/4/16 0:00,1.539397419,6,3912
12/4/16 0:00,13/4/16 0:00,1.947936551,6,4867
13/4/16 0:00,14/4/16 0:00,1.461949714,4,3851
14/4/16 0:00,15/4/16 0:00,1.495304919,3,3449
15/4/16 0:00,16/4/16 0:00,1.893659777,5,4648
16/4/16 0:00,17/4/16 0:00,1.009473425,1,2355
17/4/16 0:00,18/4/16 0:00,0.773911606,2,1876
18/4/16 0:00,19/4/16 0:00,3.783175008,11,9037
19/4/16 0:00,20/4/16 0:00,2.338542909,5,5577
20/4/16 0:00,21/4/16 0:00,2.318168148,5,5510
21/4/16 0:00,22/4/16 0:00,3.017474262,8,6653
22/4/16 0:00,23/4/16 0:00,3.250187654,12,7310
23/4/16 0:00,24/4/16 0:00,1.877914231,2,4235
24/4/16 0:00,25/4/16 0:00,0.620252724,2,1588
25/4/16 0:00,26/4/16 0:00,1.715021773,5,4388
26/4/16 0:00,27/4/16 0:00,1.699450211,4,4037
27/4/16 0:00,28/4/16 0:00,1.828477939,6,4335
28/4/16 0:00,29/4/16 0:00,1.697803577,5,4020
29/4/16 0:00,30/4/16 0:00,1.862038197,4,4227
30/4/16 0:00,1/5/16 0:00,1.478462936,3,3438
1/5/16 0:00,2/5/16 0:00,4.173943357,19,10215
2/5/16 0:00,3/5/16 0:00,1.795967798,4,4242
3/5/16 0:00,4/5/16 0:00,2.15653086,4,5131
4/5/16 0:00,5/5/16 0:00,1.762935705,7,4129
5/5/16 0:00,6/5/16 0:00,1.994781725,6,4532
6/5/16 0:00,7/5/16 0:00,2.457231021,6,5440
7/5/16 0:00,8/5/16 0:00,0.967642717,1,2417
8/5/16 0:00,9/5/16 0:00,2.080033852,3,5168
9/5/16 0:00,10/5/16 0:00,2.745957359,6,6229
10/5/16 0:00,11/5/16 0:00,2.33521236,3,5446
11/5/16 0:00,12/5/16 0:00,2.84926032,6,6614
12/5/16 0:00,13/5/16 0:00,1.731885787,5,3971
13/5/16 0:00,14/5/16 0:00,2.672082538,8,5739
14/5/16 0:00,15/5/16 0:00,1.039299242,4,2522
15/5/16 0:00,16/5/16 0:00,4.383485251,23,10075
16/5/16 0:00,17/5/16 0:00,2.936109371,7,6838
17/5/16 0:00,18/5/16 0:00,2.141791935,10,4811
18/5/16 0:00,19/5/16 0:00,2.189041001,7,5272
19/5/16 0:00,20/5/16 0:00,1.810346327,5,4293
20/5/16 0:00,21/5/16 0:00,2.6641352,5,5948
21/5/16 0:00,22/5/16 0:00,0.32398294,2,749
22/5/16 0:00,23/5/16 0:00,1.187831812,2,2993
23/5/16 0:00,24/5/16 0:00,3.508796131,4,7842
24/5/16 0:00,25/5/16 0:00,2.137759236,4,4683
25/5/16 0:00,26/5/16 0:00,1.844018432,6,4323
26/5/16 0:00,27/5/16 0:00,1.7269521,9,4019
27/5/16 0:00,28/5/16 0:00,3.29864218,5,7519
28/5/16 0:00,29/5/16 0:00,1.122202587,2,2553
29/5/16 0:00,30/5/16 0:00,3.200194053,14,7450
30/5/16 0:00,31/5/16 0:00,1.852114899,5,4529
31/5/16 0:00,1/6/16 0:00,1.777158892,5,4340
1/6/16 0:00,2/6/16 0:00,1.326105544,7,3118
2/6/16 0:00,3/6/16 0:00,3.412670007,7,7755
3/6/16 0:00,4/6/16 0:00,1.368327716,13,3076
4/6/16 0:00,5/6/16 0:00,1.317182653,7,3104
5/6/16 0:00,6/6/16 0:00,3.719204844,17,8576
6/6/16 0:00,7/6/16 0:00,1.670034499,5,3805
7/6/16 0:00,8/6/16 0:00,1.263962211,6,2893
8/6/16 0:00,9/6/16 0:00,1.766688787,5,4162
9/6/16 0:00,10/6/16 0:00,2.051450777,4,4804
10/6/16 0:00,11/6/16 0:00,3.707759186,6,8220
11/6/16 0:00,12/6/16 0:00,0.488425216,1,1124
12/6/16 0:00,13/6/16 0:00,3.239139674,5,7412
13/6/16 0:00,14/6/16 0:00,2.203655651,4,5087
14/6/16 0:00,15/6/16 0:00,2.828456812,8,6350
15/6/16 0:00,16/6/16 0:00,2.658704416,7,6203
16/6/16 0:00,17/6/16 0:00,0.925501322,4,2098
17/6/16 0:00,18/6/16 0:00,3.042258212,10,6964
18/6/16 0:00,19/6/16 0:00,5.635696814,12,12468
19/6/16 0:00,20/6/16 0:00,1.475824932,2,3351
20/6/16 0:00,21/6/16 0:00,3.692852491,3,8697
21/6/16 0:00,22/6/16 0:00,1.122973087,3,2866
22/6/16 0:00,23/6/16 0:00,3.261857005,7,7429
23/6/16 0:00,24/6/16 0:00,3.163624433,9,7051
24/6/16 0:00,25/6/16 0:00,3.010388084,8,6855
25/6/16 0:00,26/6/16 0:00,0.539406118,1,1228
26/6/16 0:00,27/6/16 0:00,0.319092748,1,751
27/6/16 0:00,28/6/16 0:00,2.783643522,5,6686
28/6/16 0:00,29/6/16 0:00,1.789232134,4,4368
29/6/16 0:00,30/6/16 0:00,0.961491142,1,2336
30/6/16 0:00,1/7/16 0:00,2.413113353,3,5510
1/7/16 0:00,2/7/16 0:00,2.264724582,2,5177
2/7/16 0:00,3/7/16 0:00,1.415651346,4,3277
3/7/16 0:00,4/7/16 0:00,3.434200519,15,7777
4/7/16 0:00,5/7/16 0:00,3.507217848,8,7974
5/7/16 0:00,6/7/16 0:00,2.321306073,6,5259
6/7/16 0:00,7/7/16 0:00,0.514545057,0,1225
7/7/16 0:00,8/7/16 0:00,2.603750348,7,5950
8/7/16 0:00,9/7/16 0:00,3.010046329,6,7187
9/7/16 0:00,10/7/16 0:00,2.066637089,1,4720
10/7/16 0:00,11/7/16 0:00,2.936177722,5,6767
11/7/16 0:00,12/7/16 0:00,1.676360057,0,4057
12/7/16 0:00,13/7/16 0:00,3.429571304,6,8049
13/7/16 0:00,14/7/16 0:00,1.903657639,3,4496
14/7/16 0:00,15/7/16 0:00,2.343923984,3,5387
15/7/16 0:00,16/7/16 0:00,2.612517895,3,5974
16/7/16 0:00,17/7/16 0:00,3.211811109,2,7440
17/7/16 0:00,18/7/16 0:00,3.23163351,1,7428
18/7/16 0:00,19/7/16 0:00,2.637385171,7,6355
19/7/16 0:00,20/7/16 0:00,2.037960809,5,5030
20/7/16 0:00,21/7/16 0:00,1.607816601,5,3886
21/7/16 0:00,22/7/16 0:00,2.150770749,1,4976
22/7/16 0:00,23/7/16 0:00,2.094797632,4,5214
23/7/16 0:00,24/7/16 0:00,3.431789599,13,8097
24/7/16 0:00,25/7/16 0:00,1.471705241,0,3368
25/7/16 0:00,26/7/16 0:00,2.362583761,6,5586
26/7/16 0:00,27/7/16 0:00,2.226907361,4,5316
27/7/16 0:00,28/7/16 0:00,2.184908882,7,5032
28/7/16 0:00,29/7/16 0:00,1.547263978,2,3756
29/7/16 0:00,30/7/16 0:00,3.164208522,7,7370
30/7/16 0:00,31/7/16 0:00,0.722803826,3,1647
31/7/16 0:00,1/8/16 0:00,3.278043725,6,7417
1/8/16 0:00,2/8/16 0:00,2.309785851,5,5384
2/8/16 0:00,3/8/16 0:00,0.081244283,1,186
3/8/16 0:00,4/8/16 0:00,2.484496789,3,5585
